"EstadoCivil";"Genero";"Email";"IngresoAnual";"TotalHijos";"Educacion";"Ocupacion";"Propietario";"CantAutomoviles";"Distancia";"Region";"Edad";"confidence(1)";"confidence(0)";"Comprará bicicleta"
"S";"M";"marcus44@mineriadedatos.com.ar";"100000";"3";"Licenciatura";"Gesti�n";"1";"3";"2-5 Km.";"Norte";"32";"0.8888888888888888";"0.1111111111111111";"1"
"S";"F";"daisy6@mineriadedatos.com.ar";"70000";"2";"Educaci�n secundaria";"Obrero especializado";"0";"2";"1-2 Km.";"Sur";"56";"0.5776173285198556";"0.4223826714801444";"1"
"S";"M";"hunter21@mineriadedatos.com.ar";"60000";"1";"Licenciatura";"Profesional";"1";"1";"2-5 Km.";"Norte";"54";"0.5625";"0.4375";"1"
"S";"F";"ebony18@mineriadedatos.com.ar";"20000";"2";"Educaci�n secundaria";"Obrero";"1";"0";"0-1 Km.";"Centro";"47";"1.0";"0.0";"1"
"S";"M";"derrick6@mineriadedatos.com.ar";"30000";"0";"Educaci�n secundaria";"Obrero";"0";"1";"1-2 Km.";"Centro";"40";"0.5984990619136961";"0.40150093808630394";"1"
"C";"F";"katie23@mineriadedatos.com.ar";"40000";"2";"Estudios universitarios (en curso)";"Administrativo";"1";"0";"1-2 Km.";"Centro";"40";"0.9166666666666666";"0.08333333333333333";"1"
"C";"F";"ariana2@mineriadedatos.com.ar";"60000";"2";"Licenciatura";"Gesti�n";"0";"0";"2-5 Km.";"Norte";"64";"0.5491803278688525";"0.45081967213114754";"1"
"S";"F";"patricia21@mineriadedatos.com.ar";"40000";"0";"Licenciatura";"Profesional";"1";"1";"2-5 Km.";"Norte";"47";"0.6285714285714286";"0.37142857142857144";"1"
"S";"F";"amanda16@mineriadedatos.com.ar";"20000";"0";"Estudios universitarios (en curso)";"Obrero especializado";"0";"2";"1-2 Km.";"Norte";"32";"1.0";"0.0";"1"
"S";"M";"darryl4@mineriadedatos.com.ar";"70000";"0";"Licenciatura";"Profesional";"0";"2";"5-10 Km.";"Sur";"37";"1.0";"0.0";"1"
"S";"M";"frank32@mineriadedatos.com.ar";"40000";"3";"Estudios universitarios (en curso)";"Obrero especializado";"1";"2";"5-10 Km.";"Sur";"59";"1.0";"0.0";"1"
"S";"M";"sergio12@mineriadedatos.com.ar";"10000";"0";"Educaci�n secundaria";"Obrero";"0";"2";"0-1 Km.";"Sur";"35";"0.8888888888888888";"0.1111111111111111";"1"
"S";"M";"bryan14@mineriadedatos.com.ar";"10000";"3";"Educaci�n secundaria";"Obrero";"1";"1";"0-1 Km.";"Centro";"45";"0.76";"0.24";"1"
"S";"F";"alexis32@mineriadedatos.com.ar";"10000";"1";"Educaci�n secundaria";"Obrero";"0";"0";"1-2 Km.";"Sur";"34";"1.0";"0.0";"1"
"C";"M";"edgar12@mineriadedatos.com.ar";"30000";"1";"Licenciatura";"Obrero especializado";"1";"2";"0-1 Km.";"Centro";"47";"0.8";"0.2";"1"
"C";"F";"cynthia27@mineriadedatos.com.ar";"130000";"2";"Estudios universitarios (en curso)";"Profesional";"1";"2";"0-1 Km.";"Centro";"56";"1.0";"0.0";"1"
"S";"F";"megan42@mineriadedatos.com.ar";"40000";"0";"Licenciatura";"Profesional";"0";"1";"0-1 Km.";"Norte";"48";"0.5";"0.5";"1"
"C";"F";"meredith4@mineriadedatos.com.ar";"30000";"4";"Estudios de postgrado";"Administrativo";"1";"0";"0-1 Km.";"Centro";"52";"0.8701298701298701";"0.12987012987012986";"1"
"C";"M";"luke47@mineriadedatos.com.ar";"70000";"1";"Estudios universitarios (en curso)";"Obrero especializado";"1";"1";"2-5 Km.";"Norte";"50";"0.5";"0.5";"1"
"C";"F";"dana19@mineriadedatos.com.ar";"160000";"4";"Educaci�n secundaria (en curso)";"Gesti�n";"0";"4";"10+ Km.";"Sur";"42";"0.5776173285198556";"0.4223826714801444";"1"
"C";"M";"cesar1@mineriadedatos.com.ar";"70000";"2";"Educaci�n secundaria";"Obrero especializado";"1";"2";"5-10 Km.";"Sur";"56";"0.5776173285198556";"0.4223826714801444";"1"
"C";"M";"clinton13@mineriadedatos.com.ar";"110000";"2";"Licenciatura";"Gesti�n";"1";"3";"2-5 Km.";"Norte";"47";"0.8888888888888888";"0.1111111111111111";"1"
"C";"M";"miguel0@mineriadedatos.com.ar";"40000";"1";"Estudios universitarios (en curso)";"Administrativo";"0";"1";"0-1 Km.";"Norte";"54";"0.6097560975609756";"0.3902439024390244";"1"
"S";"F";"lacey2@mineriadedatos.com.ar";"80000";"2";"Estudios universitarios (en curso)";"Obrero especializado";"0";"2";"1-2 Km.";"Sur";"58";"1.0";"0.0";"1"
"C";"M";"randall13@mineriadedatos.com.ar";"40000";"1";"Licenciatura";"Obrero especializado";"1";"0";"0-1 Km.";"Centro";"48";"0.6666666666666666";"0.3333333333333333";"1"
"C";"M";"edward64@mineriadedatos.com.ar";"90000";"4";"Licenciatura";"Gesti�n";"1";"1";"0-1 Km.";"Norte";"44";"0.6384615384615384";"0.36153846153846153";"1"
"S";"M";"karl6@mineriadedatos.com.ar";"60000";"0";"Estudios de postgrado";"Profesional";"1";"1";"2-5 Km.";"Norte";"46";"0.6285714285714286";"0.37142857142857144";"1"
"S";"F";"latoya17@mineriadedatos.com.ar";"90000";"2";"Licenciatura";"Profesional";"0";"0";"0-1 Km.";"Sur";"43";"1.0";"0.0";"1"
"C";"F";"sandra17@mineriadedatos.com.ar";"40000";"0";"Licenciatura";"Profesional";"1";"0";"0-1 Km.";"Centro";"46";"0.6666666666666666";"0.3333333333333333";"1"
"S";"M";"zachary7@mineriadedatos.com.ar";"80000";"0";"Licenciatura";"Gesti�n";"0";"1";"0-1 Km.";"Norte";"40";"0.6384615384615384";"0.36153846153846153";"1"
"S";"F";"caroline4@mineriadedatos.com.ar";"40000";"3";"Estudios universitarios (en curso)";"Profesional";"0";"2";"1-2 Km.";"Norte";"62";"1.0";"0.0";"1"
"C";"F";"brianna6@mineriadedatos.com.ar";"50000";"2";"Licenciatura";"Obrero especializado";"1";"0";"0-1 Km.";"Norte";"44";"0.8333333333333334";"0.16666666666666666";"1"
"C";"M";"geoffrey15@mineriadedatos.com.ar";"60000";"2";"Licenciatura";"Gesti�n";"1";"0";"2-5 Km.";"Norte";"63";"0.5491803278688525";"0.45081967213114754";"1"
"C";"F";"rebekah23@mineriadedatos.com.ar";"20000";"2";"Educaci�n secundaria (en curso)";"Administrativo";"1";"2";"5-10 Km.";"Sur";"62";"0.5555555555555556";"0.4444444444444444";"1"
