"EstadoCivil";"Genero";"Email";"IngresoAnual";"TotalHijos";"Educacion";"Ocupacion";"Propietario";"CantAutomoviles";"Distancia";"Region";"Edad";"confidence(1)";"confidence(0)";"Comprará bicicleta"
"S";"F";"ashlee10@mineriadedatos.com.ar";10000;1;"Educaci�n secundaria";"Obrero";"0";2;"0-1 Km.";"Centro";43;0.1702127659574468;0.8297872340425532;"0"
"S";"M";"marcus44@mineriadedatos.com.ar";100000;3;"Licenciatura";"Gesti�n";"1";3;"2-5 Km.";"Norte";32;0.8888888888888888;0.1111111111111111;"1"
"C";"F";"monique11@mineriadedatos.com.ar";20000;4;"Educaci�n secundaria";"Obrero";"1";2;"0-1 Km.";"Centro";34;0.1702127659574468;0.8297872340425532;"0"
"C";"F";"adriana5@mineriadedatos.com.ar";80000;3;"Licenciatura";"Obrero especializado";"1";3;"10+ Km.";"Norte";48;0.0;1.0;"0"
"C";"M";"johnny21@mineriadedatos.com.ar";30000;1;"Estudios de postgrado";"Administrativo";"1";0;"0-1 Km.";"Centro";75;0.0;1.0;"0"
"C";"M";"corey8@mineriadedatos.com.ar";20000;4;"Educaci�n secundaria";"Obrero especializado";"1";2;"5-10 Km.";"Sur";65;0.0;1.0;"0"
"C";"M";"omar40@mineriadedatos.com.ar";80000;4;"Educaci�n secundaria";"Profesional";"1";3;"10+ Km.";"Centro";61;0.034482758620689655;0.9655172413793104;"0"
"S";"M";"christian24@mineriadedatos.com.ar";20000;0;"Educaci�n secundaria (en curso)";"Obrero";"1";2;"1-2 Km.";"Centro";33;0.1702127659574468;0.8297872340425532;"0"
"S";"M";"ronnie1@mineriadedatos.com.ar";10000;3;"Estudios universitarios (en curso)";"Obrero";"1";1;"1-2 Km.";"Centro";70;0.0;1.0;"0"
"S";"F";"daisy6@mineriadedatos.com.ar";70000;2;"Educaci�n secundaria";"Obrero especializado";"0";2;"1-2 Km.";"Sur";56;0.5776173285198556;0.4223826714801444;"1"
"S";"M";"hunter21@mineriadedatos.com.ar";60000;1;"Licenciatura";"Profesional";"1";1;"2-5 Km.";"Norte";54;0.5625;0.4375;"1"
"S";"F";"ebony18@mineriadedatos.com.ar";20000;2;"Educaci�n secundaria";"Obrero";"1";0;"0-1 Km.";"Centro";47;1.0;0.0;"1"
"S";"M";"derrick6@mineriadedatos.com.ar";30000;0;"Educaci�n secundaria";"Obrero";"0";1;"1-2 Km.";"Centro";40;0.5984990619136961;0.40150093808630394;"1"
"C";"F";"katie23@mineriadedatos.com.ar";40000;2;"Estudios universitarios (en curso)";"Administrativo";"1";0;"1-2 Km.";"Centro";40;0.9166666666666666;0.08333333333333333;"1"
